,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
workers rights,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,Google Ads Keyword Planner,
animal rights,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
animal rights,environment,animalWelfare,,1,,,ASSET,,
factory farming,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
gender equality,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
gender equality,society,equitableAccess,,1,,,ASSET,,
farmers rights,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
sponsor,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
without animal testing,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
without animal testing,environment,animalWelfare,,1,,,ASSET,,
governance transparency,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
living wage ,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
decent income,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
freedom of association and collective b ,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
governance workers,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
business practice and ethical issues,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
animal housing ,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
free range,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
animal welfare,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
animal welfare,environment,animalWelfare,1,1,,,ASSET,Amazon Climate Pledge,
transport and slaughterhouse,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
impact monitoring and risk assessment,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
supporting strategies,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
sustainability audits,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
"traceability, transparency and consumer",society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
stakeholder participation,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
green farming,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
green farming,environment,generalEnvAspect,,1,,,ASSET,,
low co2 footprint,environment,carbonEmission,,1,,,ASSET,,
biodegradeable,environment,generalEnvAspect,,1,,,ASSET,,
recycling,environment,generalEnvAspect,,1,,,ASSET,,
low water footprint,environment,generalEnvAspect,,1,,,ASSET,,
farming regulations,environment,generalEnvAspect,,1,,,ASSET,,
marineculture,environment,generalEnvAspect,,1,,,ASSET,,
intergrated pest management,environment,generalEnvAspect,,1,,,ASSET,,
biodynamic and permaculture,environment,generalEnvAspect,,1,,,ASSET,,
sustainable farming,environment,generalEnvAspect,,1,,,ASSET,,
palm oil,environment,animalWelfare,,,1,,ASSET,Google Ads Keyword Planner,
palm oil,environment,generalEnvAspect,,,1,,ASSET,Google Ads Keyword Planner,
transportation,environment,generalEnvAspect,,1,,,ASSET,,
close production,environment,generalEnvAspect,,1,,,ASSET,,
climate,environment,generalEnvAspect,,1,,,ASSET,,
waste recycling,environment,generalEnvAspect,,1,,,ASSET,,
co-labeling environment,environment,generalEnvAspect,,1,,,ASSET,,
no use of chemicals and pesticides,environment,generalEnvAspect,,1,,,ASSET,,
eco-friendly production,environment,generalEnvAspect,,1,,,ASSET,,
water and energy use and emissions,environment,generalEnvAspect,,1,,,ASSET,,
water and energy use and emissions,environment,carbonEmission,,1,,,ASSET,,
fresh,economy,,,1,,,ASSET,,
fresh,health,,,1,,,ASSET,,
certified quality,economy,,,1,,,ASSET,,
artificial flavours,health,,,,1,,ASSET,,
colours,health,,,,1,,ASSET,,
other additives,health,,,,1,,ASSET,,
sweetner,health,,,,1,,ASSET,,
negative preservatives safety results,health,,,,1,,ASSET,,
preservatives,health,,,,1,,ASSET,,
emulsifiers,health,,,,1,,ASSET,,
stabilizer,health,,,,1,,ASSET,,
thickener,health,,,,1,,ASSET,,
intransparent company,environment,generalEnvAspect,,,1,,ASSET,,
intransparent company,society,sustainingCommunitiesEthicalResponsibilityEthicalResponsibility,,,1,,ASSET,,
no public environmental reports,environment,animalWelfare,,,1,,ASSET,,
no public environmental reports,environment,generalEnvAspect,,,1,,ASSET,,
no public environmental reports,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
tests on animals,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
weak anti deforestation policy,environment,generalEnvAspect,,,1,,ASSET,,
weak anti deforestation policy,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
used child labour or forced labour,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
packaged in vacuum plastic,environment,generalEnvAspect,,,1,,ASSET,,
product usually packaged in plastic,environment,generalEnvAspect,,,1,,ASSET,,
uses unsustainable cocoa,environment,generalEnvAspect,,,1,,ASSET,,
high energy use,environment,generalEnvAspect,,,1,,ASSET,,
geling agent,health,,,,1,,ASSET,,
allergens eggs and products thereof,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
allergens fish and products thereof,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
is not proven not to test on animals,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
uses some unsustainable palm oil that causes deforestation,environment,generalEnvAspect,,,1,,ASSET,,
sourced sustainably,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
local,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
local,economy,,,1,,,Google Ads Keyword Planner,,
food miles,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
food miles,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
food miles,environment,carbonEmission,,1,,,Google Ads Keyword Planner,,
locally caught,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
locally caught,economy,,,1,,,Google Ads Keyword Planner,,
local fishmongers,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
local fishmongers,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
local fishmongers,economy,,,1,,,Google Ads Keyword Planner,,
imported,society,sustainingCommunitiesEthicalResponsibility,,,1,,Google Ads Keyword Planner,,
imported,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
imported,economy,,,,1,,Google Ads Keyword Planner,,
scarce water sources,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
Genetically modified seeds and crops,health,,,,1,,Google Ads Keyword Planner,,
Genetically modified seeds and crops,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
Genetically modified seeds and crops,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
GMO,health,,,,1,,Google Ads Keyword Planner,,
GMO,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
GMO,environment,animalWelfare,,,1,,Google Ads Keyword Planner,,
palm oil free,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
palm oil free,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
sustainably sourced palm oil,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
sustainably sourced palm oil,environment,animalWelfare,,1,,,Google Ads Keyword Planner,,
Albacore tuna,environment,generalEnvAspect,,,1,,Google Ads Keyword Planner,,
Sourced sustainably,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
Sourced sustainably,economy,,,1,,,Google Ads Keyword Planner,,
natural,health,,,1,,,Google Ads Keyword Planner,,
natural,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
organic ,health,,,1,,,Google Ads Keyword Planner,,
organic ,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
non GMO,health,,,1,,,Google Ads Keyword Planner,,
non GMO,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
at home,health,,,1,,,Google Ads Keyword Planner,,
at home,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
at home,economy,,,1,,,Google Ads Keyword Planner,,
